Lịch sử,"Chiến lược ""Chiến tranh cục bộ"" của Mĩ ra đời trong hoàn cảnh nào ?","Cách mạng miền Nam phát triển mạnh mẽ, ""Chiến tranh đặc biệt"" đã bị phá sản về cơ bản.",True,"Quan hệ Liên Xô - Trung Quốc ngày càng xấu, khối đoàn kết trong phe xã hội chủ nghĩa đã rạn nứt.",False,"Trên thế giới, quan hệ Liên Xô - Trung Quốc ngày càng xấu, khối đoàn kết trong phe Xã hội chủ nghĩa đã rạn nứt.",False.1,Tất cả các ý trên.,False.2
Lịch sử,"""Chiến tranh cục bộ"" khác ""Chiến tranh đặc biệt"" ở điểm nào ?","""Chiến tranh cục bộ"" là hình thức chiến tranh của chủ nghĩa thực dân mới.",False,"""Chiến tranh cục bộ"" được tiến hành dưới sự chỉ đạo của hệ thống cố vấn Mĩ.",False,"""Chiến tranh cục bộ"" chủ yếu được tiến hành bằng lực lượng quân viễn chinh Mĩ.",True,“Chiến tranh cục bộ” sử dụng vũ khí và phương tiện chiến tranh do Mĩ cung cấp.,False
Lịch sử,"Chiến thắng nào khẳng định quân dân Miền Nam có thể đánh bại quân chủ lực Mĩ trong ""Chiến tranh cục bộ"" ?",Chiến thắng Núi Thành.,False,Chiến thắng Vạn Tường.,True,Chiến thắng mùa khô 1965 - 1966.,False,Chiến thắng mùa khô 1966 - 1967.,False
Lịch sử,Quân đội nước nào từng tham gia vào cuộc chiến tranh xâm lược của Mĩ ở miền Nam Việt Nam?,Inđônêxia.,False,Malaixia.,False,Hàn Quốc. ,True,Singapo.,False
Lịch sử,"Vị Tổng thống nào của nước Mĩ đã quyết định áp dụng chiến lược ""Chiến tranh cục bộ"" ở miền Nam Việt Nam ?",Aixenhao. ,False,Kennơđi.,False,Giônxơn.   ,True,Níchxơn.,False
Lịch sử,"Sự kiện nào đánh dấu sự thất bại hoàn toàn của chiến lược ""Chiến tranh cục bộ"" của đế quốc Mĩ?",Chiến thắng mùa khô 1965 - 1966.,False,Chiến thắng mùa khô 1966 - 1967.,False,Cuộc Tổng tiến công và nổi dậy Xuân Mậu Thân 1968.,True,Cuộc Tiến công chiến lược năm 1972.,False
Lịch sử,Chiến thắng Vạn Tường (1963) đã mở ra cao trào,"“đánh nhanh tiến nhanh, đánh chắc tiến chắc”.",False,"“đánh cho Mĩ cút, đánh cho ngụy nhào”.",False,“tất cả vì miền Nam thân yêu”.,False,"“tìm Mĩ mà đánh, lùng ngụy mà diệt”.",True
Lịch sử,"Cơ sở nào để ta khẳng định với chiến thắng Vạn Tường, quân dân miền Nam hoàn toàn có khả năng đánh bại quân Mĩ ?",Đây là một trận đánh mà quân Mĩ bị động về kế hoạch tác chiến nên đã thất bại.,False,Quân Mĩ trong trận này có ưu thế vượt trội về quân số và phương tiện chiến tranh.,True,Địa bàn xảy ra trận đánh hoàn toàn không có lợi cho cả ta và Mĩ.,False,Quân Mĩ không coi đây là địa bàn chiến lược nên đã rút lui.,False
Lịch sử,Hướng tiến công chiến lược chính của quân Mĩ trong mùa khô 1965 -1966 là,"Đông Nam Bộ, Tây Nguyên.",False,"Tây Nam Bộ, Liên khu V.",False,"Đông Nam Bộ, Liên khu V.",True,"Nam Trung Bộ, Tây Nguyên.",False
Lịch sử,"Trong cuộc tiến công chiến lược mùa khô 1966 - 1967, Mĩ đã tiến hành bao nhiêu cuộc hành quân chiến lược ?",890 cuộc hành quân.,False,450 cuộc hành quân.,False,980 cuộc hành quân.    ,False,895 cuộc hành quân.,True
Lịch sử,Căn cứ Dương Minh Châu nằm ở,tỉnh Tây Ninh,True,tỉnh Đồng Nai.,False,tỉnh Sóc Trăng.,False,tỉnh An Giang.,False
